100
2 0
1 1
o 1 1
3 0
100 6
+ 1 26
+ 1 9
+ 1 51
+ 1 7
+ 1 4
+ 1 1
100 100
+ 1 56
+ 1 49
+ 1 75
+ 1 3
+ 1 88
o 1 78
+ 1 61
+ 1 34
+ 1 33
+ 1 82
+ 1 19
+ 1 40
+ 1 15
+ 1 99
+ 1 95
+ 1 65
+ 1 23
+ 1 39
+ 1 64
+ 1 92
+ 1 30
+ 1 16
+ 1 51
+ 1 43
+ 1 45
+ 1 60
+ 1 10
+ 1 38
+ 1 100
+ 1 26
+ 1 46
+ 1 5
+ 1 2
+ 1 68
+ 1 50
+ 1 17
+ 1 96
+ 1 37
+ 1 13
+ 1 66
+ 1 72
+ 1 62
+ 1 58
+ 1 20
+ 1 87
+ 1 67
+ 1 1
+ 1 71
+ 1 42
+ 1 77
+ 1 36
+ 1 8
+ 1 55
+ 1 35
+ 1 6
+ 1 4
+ 1 25
+ 1 93
+ 1 28
+ 1 54
+ 1 21
+ 1 81
+ 1 98
+ 1 73
+ 1 76
+ 1 53
+ 1 89
+ 1 9
+ 1 85
+ 1 7
+ 1 59
+ 1 22
+ 1 86
+ 1 48
+ 1 79
+ 1 12
+ 1 63
+ 1 83
+ 1 52
+ 1 94
+ 1 84
+ 1 11
+ 1 32
+ 1 97
+ 1 90
+ 1 74
+ 1 44
+ 1 24
+ 1 27
+ 1 69
+ 1 41
+ 1 29
+ 1 31
+ 1 14
+ 1 91
+ 1 80
+ 1 47
+ 1 57
+ 1 18
+ 1 70
68 4
+ 1 62
o 1 31
+ 1 37
+ 1 40
100 3
+ 1 1
x 1 31
+ 1 17
19 4
+ 1 1
o 1 17
+ 1 2
+ 1 6
76 1
x 1 17
93 3
+ 1 72
x 1 46
+ 1 69
100 100
+ 1 85
+ 1 57
+ 1 39
+ 1 29
+ 1 79
+ 1 45
+ 1 62
+ 1 31
+ 1 14
+ 1 54
+ 1 15
+ 1 99
+ 1 50
+ 1 52
+ 1 51
+ 1 19
+ 1 9
+ 1 34
+ 1 83
+ 1 48
+ 1 60
+ 1 72
+ 1 13
+ 1 18
+ 1 86
+ 1 7
+ 1 20
+ 1 12
+ 1 77
+ 1 4
+ 1 84
+ 1 56
+ 1 87
+ 1 32
+ 1 90
+ 1 66
+ 1 91
+ 1 80
+ 1 1
+ 1 8
+ 1 25
+ 1 67
+ 1 93
+ 1 82
+ 1 89
+ 1 47
+ 1 40
+ 1 97
+ 1 26
+ 1 27
+ 1 63
+ 1 98
+ 1 21
+ 1 70
+ 1 73
+ 1 6
+ 1 37
+ 1 30
+ 1 75
+ 1 5
+ 1 88
+ 1 64
+ 1 69
+ 1 78
+ 1 76
+ 1 74
+ 1 100
+ 1 68
+ 1 22
+ 1 81
+ 1 44
+ 1 61
+ 1 55
+ 1 3
+ 1 28
+ 1 17
+ 1 46
+ 1 10
+ 1 49
+ 1 58
+ 1 59
+ 1 16
+ 1 92
+ 1 24
+ 1 36
+ 1 35
+ 1 65
+ 1 95
+ 1 42
+ 1 38
+ 1 53
+ 1 43
+ 1 23
x 1 2
+ 1 41
+ 1 94
+ 1 11
+ 1 71
+ 1 96
+ 1 33
100 100
+ 1 63
+ 1 62
+ 1 85
+ 1 89
+ 1 28
+ 1 5
+ 1 21
+ 1 75
+ 1 48
+ 1 18
+ 1 12
+ 1 44
+ 1 61
+ 1 41
+ 1 13
+ 1 91
+ 1 36
+ 1 77
+ 1 78
+ 1 86
+ 1 70
+ 1 71
+ 1 20
+ 1 31
+ 1 82
+ 1 27
+ 1 29
+ 1 57
+ 1 53
+ 1 47
+ 1 4
+ 1 93
+ 1 76
+ 1 73
+ 1 54
+ 1 46
+ 1 90
+ 1 67
+ 1 97
+ 1 35
+ 1 8
+ 1 25
+ 1 98
+ 1 32
+ 1 94
+ 1 30
+ 1 92
+ 1 39
+ 1 80
+ 1 23
+ 1 38
+ 1 7
+ 1 68
+ 1 16
+ 1 55
+ 1 81
+ 1 99
+ 1 24
+ 1 83
+ 1 72
+ 1 100
+ 1 10
+ 1 65
+ 1 17
+ 1 26
+ 1 33
+ 1 60
+ 1 79
+ 1 19
+ 1 40
+ 1 87
+ 1 64
+ 1 69
+ 1 52
+ 1 11
+ 1 84
+ 1 50
+ 1 45
+ 1 1
+ 1 56
+ 1 15
+ 1 43
+ 1 37
+ 1 66
+ 1 2
+ 1 88
+ 1 9
+ 1 22
+ 1 42
+ 1 95
+ 1 59
+ 1 6
+ 1 96
+ 1 3
+ 1 51
+ 1 74
+ 1 14
+ 1 58
+ 1 34
+ 1 49
100 2
+ 1 36
+ 1 1
22 1
o 1 11
100 5
+ 1 21
+ 1 20
+ 1 13
+ 1 7
+ 1 1
7 2
x 1 1
+ 1 4
99 0
100 99
+ 1 99
+ 1 84
+ 1 77
+ 1 23
+ 1 95
+ 1 32
+ 1 7
+ 1 5
+ 1 42
+ 1 88
+ 1 28
+ 1 34
+ 1 16
+ 1 47
+ 1 96
+ 1 100
+ 1 70
+ 1 54
+ 1 37
+ 1 20
+ 1 30
+ 1 45
+ 1 14
+ 1 29
+ 1 87
+ 1 58
+ 1 97
+ 1 55
+ 1 89
+ 1 75
+ 1 33
+ 1 50
+ 1 82
+ 1 71
+ 1 39
+ 1 61
+ 1 22
+ 1 11
+ 1 83
+ 1 19
+ 1 53
+ 1 41
+ 1 25
+ 1 44
+ 1 40
+ 1 59
+ 1 73
+ 1 72
+ 1 38
+ 1 8
+ 1 9
+ 1 90
+ 1 15
+ 1 43
+ 1 49
+ 1 48
+ 1 35
+ 1 80
+ 1 86
+ 1 46
+ 1 92
+ 1 1
+ 1 66
+ 1 26
+ 1 69
+ 1 17
+ 1 51
+ 1 94
+ 1 10
+ 1 65
+ 1 56
+ 1 57
+ 1 68
+ 1 93
+ 1 4
+ 1 24
+ 1 78
+ 1 63
+ 1 91
+ 1 12
+ 1 27
+ 1 74
+ 1 62
+ 1 67
+ 1 6
+ 1 31
+ 1 98
+ 1 85
+ 1 81
+ 1 60
+ 1 13
+ 1 64
+ 1 52
+ 1 21
+ 1 36
+ 1 76
+ 1 79
+ 1 18
+ 1 3
63 2
+ 1 35
o 1 48
78 4
+ 1 31
o 1 73
+ 1 51
+ 1 30
24 1
o 1 4
100 3
+ 1 1
+ 1 8
+ 1 76
33 2
+ 1 20
x 1 33
17 2
+ 1 8
o 1 15
23 3
o 1 9
+ 1 3
+ 1 11
41 2
+ 1 23
o 1 1
100 100
+ 1 41
+ 1 71
+ 1 62
+ 1 5
+ 1 100
+ 1 49
+ 1 82
+ 1 81
+ 1 69
+ 1 92
+ 1 84
+ 1 38
+ 1 36
+ 1 9
+ 1 61
+ 1 26
+ 1 30
+ 1 28
+ 1 58
+ 1 35
+ 1 32
+ 1 51
+ 1 14
+ 1 45
+ 1 80
+ 1 99
+ 1 16
+ 1 59
+ 1 96
+ 1 12
+ 1 60
+ 1 85
+ 1 91
+ 1 70
+ 1 18
+ 1 48
+ 1 7
+ 1 10
+ 1 55
+ 1 8
+ 1 73
+ 1 90
+ 1 19
+ 1 56
+ 1 63
+ 1 20
+ 1 37
+ 1 11
+ 1 23
+ 1 2
+ 1 94
+ 1 72
+ 1 54
+ 1 34
+ 1 33
+ 1 77
+ 1 22
+ 1 88
+ 1 52
+ 1 74
+ 1 83
+ 1 44
+ 1 24
+ 1 65
+ 1 46
+ 1 93
+ 1 50
+ 1 4
+ 1 21
+ 1 66
+ 1 15
+ 1 98
x 1 1
+ 1 76
+ 1 78
+ 1 89
+ 1 17
+ 1 6
+ 1 79
+ 1 95
+ 1 40
+ 1 25
+ 1 39
+ 1 3
+ 1 31
+ 1 57
+ 1 97
+ 1 67
+ 1 43
+ 1 42
+ 1 86
+ 1 68
+ 1 13
+ 1 29
+ 1 47
+ 1 75
+ 1 53
+ 1 87
+ 1 27
+ 1 64
100 1
x 1 71
100 4
+ 1 8
+ 1 1
+ 1 2
+ 1 22
35 2
+ 1 17
o 1 32
100 4
+ 1 14
+ 1 21
+ 1 37
+ 1 1
48 2
+ 1 1
o 1 33
100 2
+ 1 1
x 1 85
100 4
+ 1 1
+ 1 7
+ 1 32
+ 1 4
4 2
+ 1 1
o 1 3
33 3
+ 1 14
+ 1 3
x 1 2
100 2
+ 1 1
x 1 99
100 2
x 1 52
+ 1 74
100 7
+ 1 19
+ 1 6
+ 1 37
+ 1 58
+ 1 17
+ 1 33
+ 1 1
100 4
+ 1 1
+ 1 10
+ 1 18
+ 1 26
100 4
+ 1 1
+ 1 92
+ 1 40
+ 1 20
20 3
+ 1 14
x 1 1
+ 1 15
100 5
+ 1 6
x 1 5
+ 1 47
+ 1 15
+ 1 1
72 2
+ 1 36
x 1 57
100 0
100 100
+ 1 18
+ 1 5
+ 1 6
+ 1 84
+ 1 77
+ 1 69
+ 1 58
+ 1 31
+ 1 3
+ 1 43
+ 1 10
+ 1 19
o 1 1
+ 1 39
+ 1 61
+ 1 41
+ 1 30
+ 1 67
+ 1 36
+ 1 14
+ 1 90
+ 1 17
+ 1 4
+ 1 28
+ 1 98
+ 1 81
+ 1 27
+ 1 23
+ 1 68
+ 1 49
+ 1 93
+ 1 45
+ 1 76
+ 1 44
+ 1 20
+ 1 99
+ 1 75
+ 1 64
+ 1 54
+ 1 56
+ 1 13
+ 1 52
+ 1 96
+ 1 88
+ 1 73
+ 1 55
+ 1 85
+ 1 25
+ 1 65
+ 1 82
+ 1 22
+ 1 29
+ 1 66
+ 1 32
+ 1 47
+ 1 89
+ 1 40
+ 1 35
+ 1 26
+ 1 78
+ 1 86
+ 1 83
+ 1 91
+ 1 48
+ 1 12
+ 1 74
+ 1 33
+ 1 9
+ 1 72
+ 1 87
+ 1 53
+ 1 38
+ 1 8
+ 1 100
+ 1 97
+ 1 42
+ 1 51
+ 1 2
+ 1 63
+ 1 46
+ 1 71
+ 1 57
+ 1 11
+ 1 62
+ 1 24
+ 1 92
+ 1 70
+ 1 94
+ 1 60
+ 1 80
+ 1 79
+ 1 7
+ 1 59
+ 1 21
+ 1 15
+ 1 95
+ 1 37
+ 1 34
+ 1 16
+ 1 50
100 2
x 1 14
+ 1 1
18 3
x 1 11
+ 1 16
+ 1 2
51 3
+ 1 26
+ 1 24
x 1 45
100 99
+ 1 34
+ 1 4
+ 1 86
+ 1 63
+ 1 38
+ 1 66
+ 1 47
+ 1 31
+ 1 99
+ 1 53
+ 1 26
+ 1 83
+ 1 43
+ 1 75
+ 1 70
+ 1 52
+ 1 84
+ 1 95
+ 1 94
+ 1 85
+ 1 100
+ 1 36
+ 1 92
+ 1 6
+ 1 88
+ 1 76
+ 1 28
+ 1 55
+ 1 61
+ 1 58
+ 1 90
+ 1 11
+ 1 67
+ 1 59
+ 1 49
+ 1 32
+ 1 27
+ 1 62
+ 1 97
+ 1 77
+ 1 79
+ 1 8
+ 1 51
+ 1 98
+ 1 68
+ 1 48
+ 1 74
+ 1 80
+ 1 24
+ 1 12
+ 1 96
+ 1 7
+ 1 81
+ 1 30
+ 1 18
+ 1 25
+ 1 73
+ 1 54
+ 1 37
+ 1 14
+ 1 22
+ 1 57
+ 1 89
+ 1 5
+ 1 17
+ 1 33
+ 1 64
+ 1 46
+ 1 91
+ 1 35
+ 1 19
+ 1 39
+ 1 82
+ 1 42
+ 1 41
+ 1 40
+ 1 45
+ 1 15
+ 1 44
+ 1 2
+ 1 13
+ 1 69
+ 1 10
+ 1 20
+ 1 71
+ 1 3
+ 1 72
+ 1 65
+ 1 29
+ 1 78
+ 1 87
+ 1 56
+ 1 50
+ 1 93
+ 1 23
+ 1 16
+ 1 60
+ 1 9
+ 1 21
73 2
+ 1 39
o 1 47
91 2
+ 1 54
o 1 52
10 1
x 1 9
100 3
+ 1 1
+ 1 7
+ 1 29
82 4
+ 1 35
+ 1 71
+ 1 77
x 1 4
19 2
+ 1 10
x 1 13
2 2
+ 1 1
+ 1 2
66 3
+ 1 27
o 1 26
+ 1 42
1 1
+ 1 1
100 1
x 1 8
100 7
+ 1 27
+ 1 97
+ 1 3
+ 1 11
+ 1 1
x 1 87
+ 1 29
75 4
+ 1 35
+ 1 52
+ 1 51
o 1 43
45 1
x 1 21
92 1
x 1 90
17 2
+ 1 12
o 1 3
54 4
+ 1 28
+ 1 18
+ 1 26
o 1 2
100 5
+ 1 1
+ 1 65
+ 1 9
+ 1 13
+ 1 3
53 3
+ 1 24
+ 1 11
x 1 47
100 5
+ 1 33
+ 1 1
+ 1 76
+ 1 41
+ 1 9
100 2
+ 1 1
+ 1 15
24 2
+ 1 4
o 1 11
96 2
+ 1 45
o 1 81
1 0
55 5
+ 1 33
+ 1 52
+ 1 40
o 1 8
+ 1 10
1 1
x 1 1
70 6
+ 1 59
+ 1 26
+ 1 28
x 1 39
+ 1 54
+ 1 9
100 1
x 1 14
67 3
o 1 14
+ 1 20
+ 1 61
85 3
+ 1 25
o 1 57
+ 1 40
96 3
x 1 78
+ 1 71
+ 1 58
100 2
+ 1 68
+ 1 1
100 2
+ 1 1
+ 1 29
4 1
x 1 3
100 1
+ 1 1
100 100
+ 1 82
+ 1 1
+ 1 26
+ 1 94
+ 1 79
+ 1 77
+ 1 48
+ 1 84
+ 1 29
+ 1 51
+ 1 17
+ 1 22
+ 1 16
+ 1 63
+ 1 97
+ 1 88
+ 1 74
+ 1 76
+ 1 45
+ 1 30
+ 1 81
+ 1 100
+ 1 69
+ 1 70
+ 1 44
+ 1 27
+ 1 40
+ 1 57
+ 1 54
+ 1 39
+ 1 8
+ 1 64
+ 1 20
+ 1 56
+ 1 85
+ 1 73
+ 1 78
+ 1 83
+ 1 9
+ 1 90
+ 1 7
+ 1 89
+ 1 75
+ 1 42
+ 1 6
+ 1 5
+ 1 41
+ 1 47
+ 1 53
+ 1 11
+ 1 24
+ 1 87
+ 1 34
+ 1 15
o 1 2
+ 1 61
+ 1 93
+ 1 14
+ 1 33
+ 1 55
+ 1 68
+ 1 96
+ 1 86
+ 1 98
+ 1 49
+ 1 10
+ 1 18
+ 1 28
+ 1 59
+ 1 13
+ 1 52
+ 1 4
+ 1 72
+ 1 50
+ 1 36
+ 1 32
+ 1 71
+ 1 91
+ 1 25
+ 1 23
+ 1 21
+ 1 62
+ 1 60
+ 1 99
+ 1 43
+ 1 80
+ 1 37
+ 1 65
+ 1 58
+ 1 35
+ 1 12
+ 1 66
+ 1 92
+ 1 67
+ 1 19
+ 1 95
+ 1 46
+ 1 3
+ 1 38
+ 1 31
100 5
+ 1 59
+ 1 2
+ 1 1
+ 1 3
+ 1 93
53 4
+ 1 18
+ 1 9
+ 1 48
o 1 40
100 5
+ 1 40
+ 1 9
o 1 58
+ 1 62
+ 1 8
76 3
+ 1 30
o 1 22
+ 1 10
43 1
o 1 16
77 3
+ 1 3
o 1 13
+ 1 44
61 2
x 1 36
+ 1 25
60 3
o 1 7
+ 1 25
+ 1 44
61 4
+ 1 20
x 1 1
+ 1 38
+ 1 7
38 4
o 1 36
+ 1 5
+ 1 18
+ 1 17
84 2
+ 1 36
x 1 40
100 3
+ 1 26
+ 1 1
+ 1 69
9 1
x 1 9
100 4
+ 1 19
+ 1 3
+ 1 1
x 1 62
100 6
+ 1 5
+ 1 10
+ 1 1
+ 1 46
+ 1 27
+ 1 18
